Year,Team,Conf,AdjEM,AdjO,AdjD,AdjT,SOSEM,SOSO,SOSD
2023,Grand Canyon,WAC,+5.58,103.2,97.6,63.5,-0.28,101.2,101.5
2023,UMass Lowell,AE,+5.33,103.5,98.2,71.3,-7.84,96.5,104.3
2023,Princeton,Ivy,+5.24,106.2,101.0,68.1,-4.24,100.0,104.2
2023,Portland,WCC,+4.93,107.2,102.3,70.4,-0.60,102.0,102.6
2023,VCU,A10,+4.88,99.8,94.9,69.4,+2.46,102.0,99.6
2023,Loyola Marymount,WCC,+4.76,105.7,100.9,68.5,+1.40,102.7,101.3
2023,St. Bonaventure,A10,+4.62,102.7,98.0,66.1,-4.76,100.1,104.8
2023,Georgia Tech,ACC,+4.56,103.4,98.8,67.1,+0.80,101.9,101.1
2023,UC Santa Barbara,BW,+4.36,105.1,100.7,65.3,-6.22,100.4,106.6
2023,Fresno St.,MWC,+4.32,101.0,96.7,65.2,+4.92,103.5,98.6
2023,Murray St.,MVC,+4.30,104.1,99.8,67.4,+3.38,104.8,101.5
2023,Utah Valley,WAC,+4.24,103.9,99.7,66.0,+2.57,103.0,100.4
2023,Middle Tennessee,CUSA,+4.23,100.9,96.7,67.9,+1.28,103.7,102.5
2023,Samford,SC,+4.20,108.1,103.9,71.7,-1.91,99.5,101.4
2023,Akron,MAC,+4.09,103.5,99.4,62.9,+5.87,104.4,98.5
2023,Louisiana Tech,CUSA,+3.98,103.8,99.9,70.4,-0.05,101.6,101.6
2023,Duquesne,A10,+3.95,108.2,104.2,66.7,-4.34,101.1,105.4
2023,Hofstra,CAA,+3.90,107.9,104.0,68.6,+7.12,105.2,98.1
2023,George Mason,A10,+3.89,103.4,99.6,64.8,-1.22,102.4,103.6
2023,Wyoming,MWC,+3.68,106.4,102.8,65.2,-4.18,99.4,103.6
2023,New Mexico St.,WAC,+3.55,104.1,100.5,70.7,+2.48,101.9,99.4
2023,Seattle,WAC,+3.41,103.7,100.3,68.9,-0.67,101.9,102.5
2023,Massachusetts,A10,+3.37,102.9,99.6,72.3,-0.13,101.1,101.2
2023,Charlotte,CUSA,+3.34,102.3,99.0,59.5,-3.97,99.9,103.9
2023,Davidson,A10,+3.04,107.0,103.9,66.2,-1.92,101.6,103.5
2023,Jacksonville,ASun,+3.01,102.4,99.4,63.1,+14.91,108.9,93.9
2023,Louisiana,SB,+2.58,105.6,103.0,69.9,-0.50,101.4,101.9
2023,Wofford,SC,+2.38,107.0,104.6,65.9,+0.26,101.3,101.0
2023,Loyola Chicago,A10,+2.21,101.7,99.5,64.0,-3.92,100.5,104.4
2023,Chattanooga,SC,+1.90,106.2,104.3,69.2,+0.44,102.3,101.8
2023,Missouri St.,MVC,+1.78,100.5,98.7,64.4,+2.09,102.3,100.2
2023,Old Dominion,SB,+1.76,102.6,100.8,65.4,-0.65,103.1,103.8
2023,Boston College,ACC,+1.73,100.2,98.4,66.5,-1.20,102.0,103.2
2023,Youngstown St.,Horz,+1.66,107.4,105.7,70.0,-2.49,102.3,104.8
2023,Florida St.,ACC,+1.43,102.5,101.1,71.0,+6.66,105.5,98.8
2023,Belmont,MVC,+1.39,106.8,105.4,70.6,-1.59,101.4,103.0
2023,Troy,SB,+1.38,102.3,101.0,65.9,+5.29,103.8,98.5
2023,Pepperdine,WCC,+1.29,104.8,103.6,72.1,-2.27,101.4,103.7
2023,UNC Wilmington,CAA,+1.26,101.2,100.0,65.1,+10.43,107.0,96.6
2023,Hawaii,BW,+1.20,100.9,99.7,64.3,-7.32,97.3,104.6
2023,Florida Gulf Coast,ASun,+0.93,103.8,102.8,65.8,+2.97,102.8,99.8
2023,Georgetown,BE,+0.85,105.1,104.3,69.0,-4.81,99.0,103.8
2023,Longwood,BSth,+0.77,102.5,101.8,67.2,-5.10,100.6,105.7
2023,Vermont,AE,+0.73,101.7,101.0,65.4,+2.92,101.6,98.7
2023,Long Beach St.,BW,+0.68,101.2,100.5,72.8,+4.69,104.8,100.1
2023,Tarleton St.,WAC,+0.63,100.7,100.0,69.7,+8.69,106.1,97.4
2023,Minnesota,B10,+0.50,101.8,101.3,64.7,+2.13,103.7,101.6
2023,Cal Baptist,WAC,+0.44,100.0,99.5,63.2,-6.06,97.4,103.4
2023,South Alabama,SB,+0.33,100.7,100.4,68.0,+10.94,107.6,96.7
2023,Fordham,A10,+0.12,99.0,98.9,69.9,-11.35,95.8,107.2
2023,South Carolina,SEC,+0.05,99.3,99.3,64.7,+0.38,104.8,104.4
2023,Buffalo,MAC,-0.05,102.2,102.3,74.3,+2.70,103.8,101.1
2023,Cornell,Ivy,-0.16,105.7,105.8,72.8,-3.58,100.5,104.1
2023,South Dakota St.,Sum,-0.18,102.9,103.1,69.5,+9.74,105.7,96.0
2023,UNC Greensboro,SC,-0.29,97.6,97.9,66.9,+2.06,104.4,102.4
2023,Montana St.,BSky,-0.37,101.9,102.2,68.5,+2.62,103.4,100.7
2023,Southern Utah,WAC,-0.49,103.5,104.0,73.6,+2.11,103.3,101.2
2023,Bryant,AE,-0.67,104.7,105.4,74.0,+0.50,102.7,102.3
2023,Quinnipiac,MAAC,-0.77,100.7,101.5,70.0,-6.11,98.5,104.6
2023,Harvard,Ivy,-0.78,99.6,100.4,66.8,-4.28,98.6,102.9
2023,UC Davis,BW,-0.84,99.8,100.7,74.1,-5.41,99.1,104.5
2023,Penn,Ivy,-0.86,105.7,106.5,66.8,+2.27,104.3,102.1
2023,San Diego,WCC,-0.94,105.6,106.5,67.9,-1.81,100.6,102.4
2023,UC Riverside,BW,-0.99,100.9,101.9,67.9,+5.81,104.5,98.7
2023,Lipscomb,ASun,-1.01,104.1,105.2,67.4,-0.18,104.3,104.5
2023,Southern Miss,SB,-1.02,100.3,101.3,66.1,+0.76,103.1,102.3
2023,Stephen F. Austin,WAC,-1.15,101.9,103.1,71.0,-3.67,98.8,102.4
2023,Air Force,MWC,-1.19,99.6,100.8,63.3,-11.66,97.0,108.7
